userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
jati prasetyo,1,drivernya terlalu milih milih,2026-03-29 07:58:22,drivernya terlalu milih milih,drivernya terlalu milih milih,drivernya terlalu memilih memilih,drivernya terlalu memilih memilih,the driver is too picky,neutral
ReihanA,3,"Gojek, driver yang sengaja tidak bergerak, beralasan macet (padahal lengang lancar jalannya, ngecek dari CCTV kota), beralasan titik tidak bisa dijangkau, sengaja tidak cancel order biar penumpang yg cancel dan dia dapat 3k, mohon di evaluasi.",2026-03-29 07:56:23,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya mengecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet lengang lancar jalannya mengecek kota beralasan titik tidak bisa dijangkau sengaja tidak cancel biar penumpang cancel dan dapat mohon evaluasi,"gojek drivers who deliberately don't move because they're stuck in traffic, they're running smoothly, they're checking the city, they're saying the point can't be reached, they deliberately don't cancel so passengers can cancel and can ask for an evaluation.",positive
Siti nur Yulaikah,1,ini kenapa ya kok tiba2 gak bisa masuk blass gak bisa di gunakan sama sekalee..ada apa ini tolong jelaskan,2026-03-29 07:45:30,ini kenapa kok gak bisa masuk gak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok gak bisa masuk gak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok enggak bisa masuk enggak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok enggak bisa masuk enggak bisa gunakan sama sekalee ada apa ini jelaskan,"why can't i log in, can't use it at all, what's wrong with this, explain",negative
IBANG,1,"booking tidak jelas, harga berubah ubah tiba tiba, tidak dapat driver sampe 1 jam lebih",2026-03-29 07:45:10,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampai jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampai jam lebih,"booking is not clear, prices change suddenly, no driver can be found until after hours",negative
Hemasandi Ramadlani,1,kebanyakkan update mana mesti wajib update jd gabisa pesan kalau lg buru2 ngenttttt,2026-03-29 07:43:52,kebanyakkan update mana mesti wajib update gabisa pesan kalau,kebanyakkan update mana mesti wajib update gabisa pesan kalau,kebanyakan update mana mesti wajib update enggak bisa pesan kalau,kebanyakan update mana mesti wajib update enggak bisa pesan kalau,most of the updates which must be updated can't be ordered if,positive
Tahan Tawa,5,WOI KALO MAU PESAN HEMAT YA DAPAT DRIVE JAUH MAKANYA PAKAI REGULER BIAR DAPAT DRIVER DEKAT :)),2026-03-29 07:38:04,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,"hey, if you want to order cheap, you can drive far, so use regular so you can get a driver close by",positive
spartan99 rise,5,ok,2026-03-29 07:32:04,ok,ok,baik,baik,good,positive
Chairul Basari,5,keren,2026-03-29 07:25:40,keren,keren,keren,keren,cool,positive
simpanan 1,1,"systemnya di perbaiki lagi. masa sudah nunggu hampir 1 jam pesan gofood.. resto sudah nerima, udah dapet driver. tiba2 resto tutup. Udah laper pula.",2026-03-29 07:25:37,perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver resto tutup udah laper pula,perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver resto tutup udah laper pula,perbaiki lagi masa sudah menunggu hampir jam pesan gofood resto sudah menerima sudah dapat driver resto tutup sudah laper pula,perbaiki lagi masa sudah menunggu hampir jam pesan gofood resto sudah menerima sudah dapat driver resto tutup sudah laper pula,"fix it again, i've been waiting almost an hour for ordering the gofood restaurant, i've received it, the restaurant driver has closed, and i'm hungry too",negative
KzzHung giu,5,pengantar nya cepat,2026-03-29 07:24:17,pengantar nya cepat,pengantar nya cepat,pengantar nya cepat,pengantar cepat,quick introduction,positive
Yunita Rindawaty,5,aman nyaman,2026-03-29 07:14:45,aman nyaman,aman nyaman,aman nyaman,aman nyaman,safe comfortable,positive
Anaa Maulida,1,"biaya sering naik lebih mahal, driver jauh dan bertingkah, akses melaporkan susah",2026-03-29 07:10:01,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,"fees often increase, the more expensive the driver is, the further away they are and the more difficult it is to report access",neutral
Yanto Cv20,5,jos,2026-03-29 07:04:37,jos,jos,jos,jos,jos,neutral
agnes apriliani,1,jelek bgt pelayanan gofood nya masa pesen sadi jam 12 sianh smpe jam 2 siang g dapet 2 driver malah suruh munggu langi sampe jam 14.45 gila apa mana ga bisa d cancel pula ... perbaiki lagi dong sistem nya udh nunggu lama,2026-03-29 06:53:58,jelek pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa cancel pula perbaiki lagi dong sistem nya udh nunggu lama,jelek pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa cancel pula perbaiki lagi dong sistem nya udh nunggu lama,jelek pelayanan gofood nya masa pesan sadi jam sianh sampai jam siang dapat driver malah suruh munggu langi sampai jam gila apa mana tidak bisa cancel pula perbaiki lagi dong sistem nya sudah menunggu lama,jelek pelayanan gofood masa pesan sadi jam sianh sampai jam siang dapat driver malah suruh munggu langi sampai jam gila apa mana tidak bisa cancel pula perbaiki lagi dong sistem sudah menunggu lama,"gofood service is bad when you order from noon to noon, you get a driver but you're told to wait until crazy hours, you can't cancel it, fix it again, the system has been waiting for a long time",negative
Robi Maulana32,1,"lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila,padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek/gocar kecewa sih.. rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya",2026-03-29 06:52:39,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek gocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek gocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,lama lama aplikasi tidak ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain aplikasi ini bahkan saya suka kasih tips buat gojek gocar kecewa sih ranting saya saja sebagai custumer lebih tinggi dibanding aplikasi ini kecewa banget pokoknya,lama lama aplikasi tidak ngotak harga untuk customer makin gila mahal dibanding grab gila gila saya sering gunain aplikasi ini bahkan saya suka kasih tips buat gojek gocar kecewa ranting saya saja sebagai custumer lebih tinggi dibanding aplikasi ini kecewa pokoknya,"it's been a long time since the application didn't show prices for customers. it's getting crazy expensive compared to grab. it's crazy. i often use this application, i even like to give tips for gojek, gocar, i'm disappointed that i'm a higher customer than this application, i'm really disappointed.",negative
Roby Jackers,1,makin Gak Ada Otak Driver Nya Semua,2026-03-29 06:49:32,makin gak ada otak driver nya semua,makin gak ada otak driver nya semua,makin enggak ada otak driver nya semua,makin enggak ada otak driver semua,the more the drivers don't have any brains,positive
RASYID RIDHA,1,"mending apk ini di tutup saja, setiap cari drive pasti ga ada ya masuk dan percuma nunggu lama lama",2026-03-29 06:42:15,mending apk ini tutup saja setiap cari drive pasti ga ada masuk dan percuma nunggu lama lama,mending apk ini tutup saja setiap cari drive pasti ga ada masuk dan percuma nunggu lama lama,mending aplikasi ini tutup saja setiap cari drive pasti tidak ada masuk dan percuma menunggu lama lama,mending aplikasi ini tutup saja setiap cari drive pasti tidak ada masuk dan percuma menunggu lama lama,it's better to just close this application every time you look for a drive and it won't come in and it's useless waiting for a long time,negative
Miftahuzni,1,"susah dapet driver,pesenan susah di batalin . driver sampe ganti 3x .. hadeuh gojek ini pelayanan nya astaga bgt",2026-03-29 06:39:36,susah dapet driver pesenan susah batalin driver sampe ganti hadeuh gojek ini pelayanan nya astaga,susah dapet driver pesenan susah batalin driver sampe ganti hadeuh gojek ini pelayanan nya astaga,susah dapat driver persenan susah batalion driver sampai ganti aduh gojek ini pelayanan nya astaga,susah dapat driver persenan susah batalion driver sampai ganti aduh gojek ini pelayanan astaga,"it's hard to get a driver, the percentage is difficult for the battalion of drivers to change, oh, this gojek service, oh my gosh",negative
kenzo algevaro,1,"pesen makanan doang lama banget 65-75? udh ditunggu eh dibatalin, nyesel gua percaya gojek, MENDING PAKE GRAB KALO GA SHOPPE AJA BUAT MAKAN. GOJEK GA REKOMENDASI",2026-03-29 06:35:53,pesen makanan doang lama banget udh ditunggu dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,pesen makanan doang lama banget udh ditunggu dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,pesan makanan doang lama banget sudah ditunggu dibatalin menyesal gua percaya gojek mending pakai grab kalo tidak shoppe saja buat makan gojek tidak rekomendasi,pesan makanan lama sudah ditunggu dibatalin menyesal percaya gojek mending pakai grab tidak shoppe saja buat makan gojek tidak,"i've been waiting for a long time to order food, i've been cancelled, i'm sorry i believe in gojek, it's better to use grab, not shoppe to eat, gojek or not",negative
Lorenzo Gress,1,susah dapet driver,2026-03-29 06:32:29,susah dapet driver,susah dapet driver,susah dapat driver,susah dapat driver,it's hard to get a driver,negative
Hana Anis,2,di mamuju sulawesi. kalau pesan makanan lama banget sejam .. pdhal dekat rumah,2026-03-29 06:31:46,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama banget sejam dekat rumah,mamuju sulawesi kalau pesan makanan lama sejam dekat rumah,mamuju sulawesi if you order food an hour later near home,positive
lemonade,1,"ngaco banget sistemnya, dapet driver jauh 1km lebih, bukan apa apa tapi kasihan ke drivenya kocak, driver kalo lama dateng di cancel otomatis dari aplikasi, padahal salah sistem kenapa nyari gojek selalu yang jauh terus, mana kadang suka nyuruh cancel alasannya lagi makan, minum, eek, berak, modol",2026-03-29 06:14:45,ngaco banget sistemnya dapet driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama dateng cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,ngaco banget sistemnya dapet driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama dateng cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,mengaco banget sistemnya dapat driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver kalo lama datang cancel otomatis dari aplikasi padahal salah sistem kenapa mencari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,mengaco sistemnya dapat driver jauh lebih bukan apa apa tapi kasihan drivenya kocak driver lama datang cancel otomatis aplikasi salah sistem kenapa mencari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,"it's a mess with the system, but the driver is far away, it's nothing, but it's a pity that the drive is hilarious, the driver takes a long time to arrive, automatically cancels the application, the system is wrong, why is looking for a gojek always far away, but sometimes i like to tell you to cancel because i'm eating and drinking, i'm defecating with modol",negative
Ilmaniar Kamahara,3,"gojek sekarang bikin kecewa, akhir2 ini susahh bangett dapat driver entah dari goride, gocar atau gofood juga",2026-03-29 06:11:44,gojek sekarang bikin kecewa ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,gojek sekarang bikin kecewa ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,gojek sekarang bikin kecewa ini susah banget dapat driver entah dari goride gocar atau gofood juga,gojek sekarang kecewa ini susah dapat driver entah goride gocar atau gofood,"gojek is now disappointed that it is difficult to get drivers, either goride gocar or gofood",negative
Edrus Himawan,5,mantaf,2026-03-29 06:11:31,mantaf,mantaf,manta,manta,manta,neutral
doel baba,5,ok,2026-03-29 06:01:40,ok,ok,baik,baik,good,positive
Devi Anggraeni,1,makin lama makin gajelas,2026-03-29 05:56:42,makin lama makin gajelas,makin lama makin gajelas,makin lama makin enggak jelas,makin lama makin enggak jelas,it becomes more and more unclear over time,positive
BLURR I ANK,5,GOOD....!,2026-03-29 05:47:24,good,good,good,good,good,positive
Juliadi Boy,5,okey,2026-03-29 05:40:53,okey,okey,okey,okey,okay,positive
Steven Hartono,5,bagus,2026-03-29 05:36:41,bagus,bagus,bagus,bagus,good,positive
Sugiono Rahmat,3,sangat membantu,2026-03-29 05:29:27,sangat membantu,sangat membantu,sangat membantu,sangat membantu,very helpful,positive
Nazriel Ismail,1,"pelayanan terburuk di dunia, driver susah di dapat",2026-03-29 05:25:46,pelayanan terburuk dunia driver susah dapat,pelayanan terburuk dunia driver susah dapat,pelayanan terburu dunia driver susah dapat,pelayanan terburu dunia driver susah dapat,rush service in the world of drivers is hard to find,negative
Nur Atikah,2,"cri driver aja lama bgt, pdhl udh di prioritasin",2026-03-29 05:17:54,cri driver aja lama udh prioritasin,cri driver aja lama udh prioritasin,cari driver saja lama sudah prioritas,cari driver saja lama sudah prioritas,just looking for a driver is a priority for a long time,negative
Zull Zull,5,mantap gojek Gorontalo,2026-03-29 05:12:59,mantap gojek gorontalo,mantap gojek gorontalo,mantap gojek gorontalo,mantap gojek gorontalo,gojek gorontalo is great,positive
supriadi alfiatnah,1,"saya pesan makanan sudah saya transfer ke gopay drivernya dan pesanan saya di cancel ,gimana ini gojek kurang amanah driver penipu di loloskan gabung di gojek nama account nya Muhammad Iqbal Saputra DD4106XBM",2026-03-29 05:12:03,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel gimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel gimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer gopay drivernya dan pesanan saya cancel bagaimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account nya muhammad iqbal saputra,saya pesan makanan sudah saya transfer drivernya dan pesanan saya cancel bagaimana ini gojek kurang amanah driver penipu loloskan gabung gojek nama account muhammad iqbal saputra,"i ordered food, i transferred the driver and my order was canceled, how is this, gojek is not trustworthy, fraudulent drivers let me join gojek, account name is muhammad iqbal saputra",neutral
Nisrina Nasywa,1,"so sory, apk ini awalnya bagus bgt bisa ngebantu banyak hal. but makin kesini makin GAJELAS SISTEMNYA. kasian customer susah bgt dapet drivernya, pdhal di sisi lain para driver juga pada ga dapet orderan. DIPERBAIKI!!! jangan sampe gara² udh punya nama, jadi asal asalan pelayanannya",2026-03-29 05:03:09,sory apk ini awalnya bagus bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah dapet drivernya sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,sory apk ini awalnya bagus bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah dapet drivernya sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,sory aplikasi ini awalnya bagus bisa membantu banyak hal but makin kesini makin enggak jelas sistemnya kasihan customer susah dapat drivernya sisi lain para driver juga pada tidak dapat orderan diperbaiki jangan sampai gara sudah punya nama jadi asal asalan pelayanannya,sory aplikasi ini awalnya bagus bisa membantu banyak hal but makin kesini makin enggak jelas sistemnya kasihan customer susah dapat drivernya sisi lain para driver pada tidak dapat orderan diperbaiki jangan sampai gara sudah punya nama jadi asal asalan pelayanannya,"sorry, this application was good at first, it can help with a lot of things, but the system is getting more and more unclear, sorry for the customers, it's hard to get drivers. on the other hand, the drivers can't get their orders repaired, don't let it happen because they already have a name, so the service is just haphazard.",negative
Winarko HS,5,"Terimakasih sudah diantar tepat waktu, komunikasi drivernya baik, ramah, perjalanan aman dan lancar... 🙏",2026-03-29 04:57:03,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,"thank you for delivering on time, the driver's communication was good, friendly, the trip was safe and smooth",positive
Danang Dwi Kustianto,1,"banyak driver gak mau ambil jemputan, pelayanannya gimana",2026-03-29 04:50:37,banyak driver gak mau ambil jemputan pelayanannya gimana,banyak driver gak mau ambil jemputan pelayanannya gimana,banyak driver enggak mau ambil jemputan pelayanannya bagaimana,banyak driver enggak mau ambil jemputan pelayanannya bagaimana,many drivers don't want to pick up what the service is like,positive
Mustika Kania,5,ramah,2026-03-29 04:41:30,ramah,ramah,ramah,ramah,friendly,positive
Ikhwan Pribadi,5,good,2026-03-29 04:21:37,good,good,good,good,good,positive
Deko Handoko,5,bisa pesan makanan,2026-03-29 04:00:14,bisa pesan makanan,bisa pesan makanan,bisa pesan makanan,bisa pesan makanan,can order food,neutral
Wirda Hayati,5,terima kasih bang. .. terpercaya dan tepat waktu,2026-03-29 03:55:06,terima kasih bang terpercaya dan tepat waktu,terima kasih bang terpercaya dan tepat waktu,terima kasih bang tepercaya dan tepat waktu,terima kasih bang tepercaya dan tepat waktu,"thank you bro, trustworthy and on time",neutral
Faizan Nafis,1,"lelet, sudah pesan gofood ga ada drivernya. dapat driver 9 kali malah di cancel semua, aplikasi apaan ini sistem gofoodnya begitu",2026-03-29 03:54:29,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood tidak ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,lelet sudah pesan gofood tidak ada drivernya dapat driver kali malah cancel semua aplikasi apaan ini sistem gofoodnya begitu,"it's slow, ordering gofood, there's no driver, you can get a driver, but instead you cancel all the applications, what's this, the gofood system is like that",negative
kombel cakrawisdom,5,senang memnggunakan aplikasi gojek semuanya bisa cukup dr rumah sdh bisa dilakukan,2026-03-29 03:49:35,senang memnggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang memnggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang menggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,senang menggunakan aplikasi gojek semuanya bisa cukup rumah bisa dilakukan,"happy to use the gojek application, everything can be done at home",positive
Syahril Ramadhan,5,terlalu lama ini mendapatkan kurir lawak,2026-03-29 03:46:24,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak,terlalu lama ini mendapatkan kurir lawak,it's taking too long to get a comedy courier,negative
Tarmin Raenanda,5,Sangat membantu sekali,2026-03-29 03:44:55,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,very helpful,positive
Arveni Tulangow,5,Mantap,2026-03-29 03:37:13,mantap,mantap,mantap,mantap,excellent,positive
Callista 08,5,sangat senang dan sangat membantu sekali pake aplikasi gocar,2026-03-29 03:32:50,sangat senang dan sangat membantu sekali pake aplikasi gocar,sangat senang dan sangat membantu sekali pake aplikasi gocar,sangat senang dan sangat membantu sekali pakai aplikasi gocar,sangat senang dan sangat membantu sekali pakai aplikasi gocar,very happy and very helpful when using the gocar application,positive
Veno Oktobrian,1,"semakin kesini semakin buruk aplikasinya sering banget eror gajelas, masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru",2026-03-29 03:22:11,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering banget eror enggak jelas masukan saja mending sistem aplikasinya dibenerin biar tidak lemot karena menyusahkan kalau buat yang terburu buru,semakin kesini semakin buruk aplikasinya sering enggak jelas masukan saja mending sistem aplikasinya dibenerin biar tidak lemot karena menyusahkan kalau buat yang terburu buru,"it's getting worse and worse, the application often isn't clear, just enter it, it's better to fix the application system so it's not slow because it's troublesome if you're in a hurry.",negative
Ruddy Ruslie,5,Membantu. ok.,2026-03-29 03:21:41,membantu ok,membantu ok,membantu baik,membantu baik,good help,positive
Uing Tea,4,kita coba babak baru.....,2026-03-29 03:21:24,kita coba babak baru,kita coba babak baru,kita coba babak baru,kita coba babak baru,let's try a new round,negative
Fino Ardian,3,"lama lama gojek kurang ajar masa ongkir mahal bgt, padahal Deket saya pemakai gofood 3 tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa 3x saya pesen gofood masa skrg lama lama kayak gak ngotak udah ongkos mahal, waktu nunggu bisa 1 Jam juga niat apa gak bikin fitur gofood apa nyontek ke shoppefood yang waktu anternya lama",2026-03-29 03:18:53,lama lama gojek kurang ajar masa ongkir mahal padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa saya pesen gofood masa lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa saya pesen gofood masa lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal padahal dekat saya pemakai gofood tahun belakangan setiap hari saya pesan gofood bahkan sehari bisa saya pesan gofood masa lama lama kayak enggak ngotak sudah ongkos mahal waktu menunggu bisa jam juga niat apa enggak bikin fitur gofood apa nyontek shoppefood yang waktu anternya lama,lama lama gojek kurang ajar masa ongkir mahal dekat saya pemakai gofood tahun belakangan setiap hari saya pesan gofood bahkan sehari bisa saya pesan gofood masa lama lama kayak enggak ngotak sudah ongkos mahal waktu menunggu bisa jam niat apa enggak fitur gofood apa nyontek shoppefood yang waktu anternya lama,"gojek takes a long time, it's rude, the postage is expensive near me, i'm a gofood user in the last year, every day i order gofood, even one day i can order gofood, it takes a long time, like i don't think about it, the cost is expensive, the waiting time can be at what time i intend or not, what are the features of gofood, or cheating on shoppefood with long delivery times?",negative
Arie Citra rengganis,5,"plis buat gojek coba pertimbangkan buat ngasih lokasi driver itu jangan jauh jauh kasian kadang terpaksa di batalin karena jauh padahal saya pengguna setia gojek Loh, karena titik nya suka presisi ga loncat tapi akhir akhir ini dapet driver lama dan jauh, akhirnya mempertimbangkan memakai jasa sebelah ya sayang sih harus nya bisa lebih baik ya",2026-03-29 02:59:48,plis buat gojek coba buat ngasih lokasi driver itu jangan jauh jauh kasian kadang terpaksa batalin karena jauh padahal saya pengguna setia gojek loh karena titik nya suka presisi ga loncat tapi akhir akhir ini dapet driver lama dan jauh akhirnya memakai jasa sebelah sayang sih harus nya bisa lebih baik,plis buat gojek coba buat ngasih lokasi driver itu jangan jauh jauh kasian kadang terpaksa batalin karena jauh padahal saya pengguna setia gojek loh karena titik nya suka presisi ga loncat tapi akhir akhir ini dapet driver lama dan jauh akhirnya memakai jasa sebelah sayang sih harus nya bisa lebih baik,plis buat gojek coba buat mengasih lokasi driver itu jangan jauh jauh kasihan kadang terpaksa batalion karena jauh padahal saya pengguna setia gojek loh karena titik nya suka presisi tidak loncat tapi akhir akhir ini dapat driver lama dan jauh akhirnya memakai jasa sebelah sayang sih harus nya bisa lebih baik,plis buat gojek coba buat mengasih lokasi driver itu jangan jauh jauh kasihan kadang terpaksa batalion karena jauh saya pengguna setia gojek loh karena titik suka presisi tidak loncat tapi akhir akhir ini dapat driver lama dan jauh akhirnya memakai jasa sebelah sayang harus bisa lebih baik,"please, for gojek, try to give me the driver's location, don't be too far away, it's a pity, sometimes i have to battalion because it's far away. i'm a loyal gojek user, because the point of liking precision doesn't jump, but recently i got a driver for a long time and far away, so i ended up using the service next door, unfortunately, it should be better.",positive
Ratna A,1,PELAYANAN KONSUMER BURUK..ROBOT SEMUA ISINYA,2026-03-29 02:49:59,pelayanan konsumer buruk robot semua isinya,pelayanan konsumer buruk robot semua isinya,pelayanan konsumer buruk robot semua sisinya,pelayanan konsumer buruk robot semua sisinya,"bad customer service, robots on all sides",negative
Liana Sebong,5,nice,2026-03-29 02:43:35,nice,nice,nice,nice,nice,positive
muhammad naufalasshofa,1,"apk bodoh dan menyusahkan, main ngerubah harga sendiri, susah mendapatkan driver. MENYUSAHKAN",2026-03-29 02:40:36,apk bodoh dan menyusahkan main ngerubah harga sendiri susah mendapatkan driver menyusahkan,apk bodoh dan menyusahkan main ngerubah harga sendiri susah mendapatkan driver menyusahkan,aplikasi bodoh dan menyusahkan main ngerubah harga sendiri susah mendapatkan driver menyusahkan,aplikasi bodoh dan menyusahkan main ngerubah harga sendiri susah mendapatkan driver menyusahkan,"stupid application and making it difficult to play, changing prices yourself, getting a driver is difficult",negative
Suat Hong Lie,3,kebanyakan anterrin mkn gk pernah pakai baju seragam,2026-03-29 02:38:58,kebanyakan anterrin gk pernah pakai baju seragam,kebanyakan anterrin gk pernah pakai baju seragam,kebanyakan anterrin tidak pernah pakai baju seragam,kebanyakan anterrin tidak pernah pakai baju seragam,most anterrin never wear uniforms,positive
Elisabeth Ivantry,1,pesan makan sekarang lama sekali,2026-03-29 02:35:37,pesan makan sekarang lama sekali,pesan makan sekarang lama sekali,pesan makan sekarang lama sekali,pesan makan sekarang lama sekali,ordering food now is taking a long time,negative
Ste Fanny,4,skrng cari driver susah banget udh gitu pada lama² lagi,2026-03-29 02:23:52,cari driver susah banget udh gitu pada lama lagi,cari driver susah banget udh gitu pada lama lagi,cari driver susah banget sudah begitu pada lama lagi,cari driver susah sudah begitu pada lama lagi,finding a driver has been difficult for a long time now,negative
Muhammad al qays,5,okay,2026-03-29 02:08:32,okay,okay,okay,okay,okay,positive
