userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Mirah Zahirah,3,ştreş bngt,2026-03-29 11:27:13,tre bngt,netral,tre,tre,tre,tre
Datardo Rajaipul Sinaga,1,aplikasi sampah. driver gofod kalau mereka cancel nunggu driver berikutnya 30-40 menit. gojek sial,2026-03-29 11:24:48,aplikasi sampah driver gofod kalau mereka cancel nunggu driver berikutnya menit gojek sial,negatif,aplikasi sampah driver gofod kalau mereka cancel nunggu driver berikutnya menit gojek sial,aplikasi sampah driver gofod kalau mereka cancel nunggu driver berikutnya menit gojek sial,aplikasi sampah driver gofod kalau mereka cancel menunggu driver berikutnya menit gojek sial,aplikasi sampah driver gofod kalau mereka cancel menunggu driver berikutnya menit gojek sial
siti mutmainah,5,orang nya baik ramah dan sopan,2026-03-29 11:24:26,orang nya baik ramah dan sopan,positif,orang nya baik ramah dan sopan,orang nya baik ramah dan sopan,orang nya baik ramah dan sopan,orang baik ramah dan sopan
hadi nugraha,5,bagus,2026-03-29 11:14:41,bagus,positif,bagus,bagus,bagus,bagus
Yoga Hdyt,1,"yang benar aja nunggu cari driver gofood sampe sejam,udah lapar nunggu sejam gak bisa di cancel harus sejam dulu aplikasi gblkk perbanyaklah driver",2026-03-29 11:12:25,yang benar aja nunggu cari driver gofood sampe sejamudah lapar nunggu sejam gak bisa di cancel harus sejam dulu aplikasi gblkk perbanyaklah driver,negatif,yang benar aja nunggu cari driver gofood sampe sejam udah lapar nunggu sejam gak bisa cancel harus sejam dulu aplikasi perbanyaklah driver,yang benar aja nunggu cari driver gofood sampe sejam udah lapar nunggu sejam gak bisa cancel harus sejam dulu aplikasi perbanyaklah driver,yang benar saja menunggu cari driver gofood sampai sejam sudah lapar menunggu sejam enggak bisa cancel harus sejam dulu aplikasi perbanyaklah driver,yang benar saja menunggu cari driver gofood sampai sejam sudah lapar menunggu sejam enggak bisa cancel harus sejam dulu aplikasi perbanyaklah driver
Giunniviera Sapulette,1,Lama banget nyari Gojeknya,2026-03-29 11:07:21,lama banget nyari gojeknya,negatif,lama banget nyari gojeknya,lama banget nyari gojeknya,lama banget mencari gojeknya,lama mencari gojeknya
Nuriah Enung,5,baik sekali,2026-03-29 11:06:27,baik sekali,positif,baik sekali,baik sekali,baik sekali,baik sekali
salsabila s,2,"tolong di perbaiki agar notifnya masuk. kasihan Abang gojeknya ternyata sudah tlp saya berkali kali, tp tdk ada notif masuk sama sekali, harus buka chat gojek dulu. tolong demi kenyamanan bersama. terima kasih",2026-03-29 11:05:31,tolong di perbaiki agar notifnya masuk kasihan abang gojeknya ternyata sudah tlp saya berkali kali tp tdk ada notif masuk sama sekali harus buka chat gojek dulu tolong demi kenyamanan bersama terima kasih,negatif,tolong perbaiki agar notifnya masuk kasihan abang gojeknya ternyata sudah saya berkali kali ada notif masuk sama sekali harus buka chat gojek dulu tolong demi kenyamanan bersama terima kasih,tolong perbaiki agar notifnya masuk kasihan abang gojeknya ternyata sudah saya berkali kali ada notif masuk sama sekali harus buka chat gojek dulu tolong demi kenyamanan bersama terima kasih,tolong perbaiki agar notifnya masuk kasihan abang gojeknya ternyata sudah saya berkalih kali ada notif masuk sama sekali harus buka chat gojek dulu tolong demi kenyamanan bersama terima kasih,perbaiki agar notifnya masuk kasihan abang gojeknya ternyata sudah saya berkalih kali ada notif masuk sama sekali harus buka chat gojek dulu demi kenyamanan bersama terima kasih
Ce Meysha,5,bgus bnget,2026-03-29 11:04:46,bgus bnget,positif,bgus,bgus,bagus,bagus
rifa maulida,3,driver nya skrng banyak yg jelek,2026-03-29 11:04:17,driver nya skrng banyak yg jelek,netral,driver nya banyak jelek,driver nya banyak jelek,driver nya banyak jelek,driver banyak jelek
Galaxy Sonic,1,"udah lama nunggu ternyata dicancel,...",2026-03-29 10:52:43,udah lama nunggu ternyata dicancel,negatif,udah lama nunggu ternyata dicancel,udah lama nunggu ternyata dicancel,sudah lama menunggu ternyata dicancel,sudah lama menunggu ternyata dicancel
ZALFA Zahra,1,susah dapet driver plss pdhl lg ungent bgt,2026-03-29 10:52:11,susah dapet driver plss pdhl lg ungent bgt,negatif,susah dapet driver ungent,susah dapet driver ungent,susah dapat driver ungent,susah dapat driver ungent
Yuni Arti,1,"burukk,lama banget bookingnya",2026-03-29 10:39:39,burukklama banget bookingnya,negatif,burukk lama banget bookingnya,burukk lama banget bookingnya,buruk lama banget bookingnya,buruk lama bookingnya
Putu Gita Hermawan,1,"mohon dibantu ditampilan beranda saya klik go food selalu muncul , Belum ada isinya nih padahal lokasi sudah di set up benar",2026-03-29 10:30:54,mohon dibantu ditampilan beranda saya klik go food selalu muncul belum ada isinya nih padahal lokasi sudah di set up benar,negatif,mohon dibantu ditampilan beranda saya klik food selalu muncul belum ada isinya nih padahal lokasi sudah set benar,mohon dibantu ditampilan beranda saya klik food selalu muncul belum ada isinya nih padahal lokasi sudah set benar,mohon dibantu ditampilkan beranda saya klik food selalu muncul belum ada sisinya nih padahal lokasi sudah set benar,mohon dibantu ditampilkan beranda saya klik food selalu muncul belum ada sisinya lokasi sudah set benar
Wil Wil,2,"wey susah dapet driver, prioritaspun gak dapet dapet. gimana ini gojek kenapa, driver pada ga mau ambil orderan",2026-03-29 10:20:52,wey susah dapet driver prioritaspun gak dapet dapet gimana ini gojek kenapa driver pada ga mau ambil orderan,negatif,wey susah dapet driver prioritaspun gak dapet dapet gimana ini gojek kenapa driver pada ga mau ambil orderan,wey susah dapet driver prioritaspun gak dapet dapet gimana ini gojek kenapa driver pada ga mau ambil orderan,wey susah dapat driver prioritaspun enggak dapat dapat bagaimana ini gojek kenapa driver pada tidak mau ambil orderan,wey susah dapat driver prioritaspun enggak dapat dapat bagaimana ini gojek kenapa driver pada tidak mau ambil orderan
Dhiki Hapiz,5,bagus,2026-03-29 10:08:25,bagus,positif,bagus,bagus,bagus,bagus
Master AssassiN,2,"sekarang susah banget order gojek, driver seringnya tidak komunikatif tidak menjawab mau jemput gak, sudah ditunggu lama lama ternyata tidak dijemput, pengelola app tambahin review bintang difase order dong, jadi kalau ada driver yg gk komunikatif biar bisa kita nilai, karna yg gak kasih info seringkali menghabiskan waktu kita... mending kalau info gak bisa jemput sekalian malah enak kita bisa order yg lain... tapi yg terjadi pembiaran.",2026-03-29 10:08:19,sekarang susah banget order gojek driver seringnya tidak komunikatif tidak menjawab mau jemput gak sudah ditunggu lama lama ternyata tidak dijemput pengelola app tambahin review bintang difase order dong jadi kalau ada driver yg gk komunikatif biar bisa kita nilai karna yg gak kasih info seringkali menghabiskan waktu kita mending kalau info gak bisa jemput sekalian malah enak kita bisa order yg lain tapi yg terjadi pembiaran,negatif,sekarang susah banget order gojek driver seringnya tidak komunikatif tidak menjawab mau jemput gak sudah ditunggu lama lama ternyata tidak dijemput pengelola app tambahin review bintang difase order dong jadi kalau ada driver gk komunikatif biar bisa kita nilai karna gak kasih info seringkali menghabiskan waktu kita mending kalau info gak bisa jemput sekalian malah enak kita bisa order lain tapi terjadi pembiaran,sekarang susah banget order gojek driver seringnya tidak komunikatif tidak menjawab mau jemput gak sudah ditunggu lama lama ternyata tidak dijemput pengelola app tambahin review bintang difase order dong jadi kalau ada driver gk komunikatif biar bisa kita nilai karna gak kasih info seringkali menghabiskan waktu kita mending kalau info gak bisa jemput sekalian malah enak kita bisa order lain tapi terjadi pembiaran,sekarang susah banget order gojek driver seringnya tidak komunikatif tidak menjawab mau jemput enggak sudah ditunggu lama lama ternyata tidak dijemput pengelola aplikasi tambahkan review bintang difase order dong jadi kalau ada driver tidak komunikatif biar bisa kita nilai karena enggak kasih info seringkali menghabiskan waktu kita mending kalau info enggak bisa jemput sekalian malah enak kita bisa order lain tapi terjadi pembiaran,sekarang susah gojek driver seringnya tidak komunikatif tidak menjawab mau jemput enggak sudah ditunggu lama lama ternyata tidak dijemput pengelola aplikasi tambahkan review bintang difase dong jadi kalau ada driver tidak komunikatif biar bisa kita nilai karena enggak kasih seringkali menghabiskan waktu kita mending kalau enggak bisa jemput sekalian malah enak kita bisa lain tapi terjadi pembiaran
Anta Nira,4,"kembalikan view driver versi mapnya biar bisa pantau drivernya di titik mana, malah di update cuma driver jalan gambar doang",2026-03-29 09:56:27,kembalikan view driver versi mapnya biar bisa pantau drivernya di titik mana malah di update cuma driver jalan gambar doang,positif,kembalikan view driver versi mapnya biar bisa pantau drivernya titik mana malah update cuma driver jalan gambar doang,kembalikan view driver versi mapnya biar bisa pantau drivernya titik mana malah update cuma driver jalan gambar doang,kembalian view driver versi mapnya biar bisa pantau drivernya titik mana malah update cuma driver jalan gambar doang,kembalian view driver versi mapnya biar bisa pantau drivernya titik mana malah update cuma driver jalan gambar
rachmad wahyudi,5,bagus,2026-03-29 09:55:22,bagus,positif,bagus,bagus,bagus,bagus
Mamang Au,5,bayar drivernya yang bagus dan dengan jasanya lah... margin tipis yang penting semua sejahtera,2026-03-29 09:55:07,bayar drivernya yang bagus dan dengan jasanya lah margin tipis yang penting semua sejahtera,positif,bayar drivernya yang bagus dan dengan jasanya lah margin tipis yang penting semua sejahtera,bayar drivernya yang bagus dan dengan jasanya lah margin tipis yang penting semua sejahtera,bayar drivernya yang bagus dan dengan jasanya lah margin tipis yang penting semua sejahtera,bayar drivernya yang bagus dan dengan jasanya lah margin tipis yang penting semua sejahtera
Maulida Fahra,1,"gojek lagi kenapa si kalo aku setiap mesen ga ada yang ambil mulu najis,padahal ada gojeknya pada deket tapi pada ga mau ambil. udah batalin booking lagi masi tetep aja apa rating ku di driver jelek ya,padahal suka kasi tip,jadi males banget sekarang kemana² pesen gojek.",2026-03-29 09:46:48,gojek lagi kenapa si kalo aku setiap mesen ga ada yang ambil mulu najispadahal ada gojeknya pada deket tapi pada ga mau ambil udah batalin booking lagi masi tetep aja apa rating ku di driver jelek yapadahal suka kasi tipjadi males banget sekarang kemana pesen gojek,negatif,gojek lagi kenapa kalo aku setiap mesen ga ada yang ambil mulu najis padahal ada gojeknya pada deket tapi pada ga mau ambil udah batalin booking lagi masi tetep aja apa rating driver jelek padahal suka kasi tip jadi males banget sekarang kemana pesen gojek,gojek lagi kenapa kalo aku setiap mesen ga ada yang ambil mulu najis padahal ada gojeknya pada deket tapi pada ga mau ambil udah batalin booking lagi masi tetep aja apa rating driver jelek padahal suka kasi tip jadi males banget sekarang kemana pesen gojek,gojek lagi kenapa kalo aku setiap mesen tidak ada yang ambil mulu najis padahal ada gojeknya pada dekat tapi pada tidak mau ambil sudah batalion booking lagi masih tetap saja apa ranting driver jelek padahal suka kasih tip jadi malas banget sekarang kemana pesan gojek,gojek lagi kenapa aku setiap mesen tidak ada yang ambil najis ada gojeknya pada dekat tapi pada tidak mau ambil sudah batalion booking lagi masih tetap saja apa ranting driver jelek suka kasih tip jadi malas sekarang kemana pesan gojek
Dragon Tjia,3,Lama tidak buka aplikasi nya bisa log out sendiri. Mau masuk aplikasinya susah.,2026-03-29 09:45:41,lama tidak buka aplikasi nya bisa log out sendiri mau masuk aplikasinya susah,netral,lama tidak buka aplikasi nya bisa log out sendiri mau masuk aplikasinya susah,lama tidak buka aplikasi nya bisa log out sendiri mau masuk aplikasinya susah,lama tidak buka aplikasi nya bisa log out sendiri mau masuk aplikasinya susah,lama tidak buka aplikasi bisa log out sendiri mau masuk aplikasinya susah
Nurtjahya Cahya,5,driver nya ok,2026-03-29 09:44:51,driver nya ok,positif,driver nya ok,driver nya ok,driver nya baik,driver baik
Ela Dahlia,5,harganya sesuai,2026-03-29 09:36:44,harganya sesuai,positif,harganya sesuai,harganya sesuai,harganya sesuai,harganya sesuai
dwi pasipers,5,bagus pelayanan dan on time,2026-03-29 09:27:43,bagus pelayanan dan on time,positif,bagus pelayanan dan time,bagus pelayanan dan time,bagus pelayanan dan time,bagus pelayanan dan time
Riska Anindya,5,sangat membantu konsumen,2026-03-29 09:23:28,sangat membantu konsumen,positif,sangat membantu konsumen,sangat membantu konsumen,sangat membantu konsumen,sangat membantu konsumen
Elyana Diyan Syafitri,2,kadang lama banget dapet drivernya🥲,2026-03-29 09:19:30,kadang lama banget dapet drivernya,negatif,kadang lama banget dapet drivernya,kadang lama banget dapet drivernya,kadang lama banget dapat drivernya,kadang lama dapat drivernya
Ewa “Erfan” Nawi,1,"Login susah,, saya customer padahal",2026-03-29 09:14:13,login susah saya customer padahal,negatif,login susah saya customer padahal,login susah saya customer padahal,login susah saya customer padahal,login susah saya customer
Yuli Sofiyana,1,"mls bgt jig. susah bgt nyari driver nya, jd sering telat kalo pake gojek, trus kalo pesen makan juga nyari driver nya lama bgt keburu ga laper lg",2026-03-29 09:13:15,mls bgt jig susah bgt nyari driver nya jd sering telat kalo pake gojek trus kalo pesen makan juga nyari driver nya lama bgt keburu ga laper lg,negatif,jig susah nyari driver nya sering telat kalo pake gojek trus kalo pesen makan juga nyari driver nya lama keburu ga laper,jig susah nyari driver nya sering telat kalo pake gojek trus kalo pesen makan juga nyari driver nya lama keburu ga laper,jig susah mencari driver nya sering telat kalo pakai gojek terus kalo pesan makan juga mencari driver nya lama keburu tidak laper,jig susah mencari driver sering telat pakai gojek terus pesan makan mencari driver lama keburu tidak laper
Kiera_mainyuks,1,"udah beberapa hari ini cari driver lama, bahkan bisa sampai nunggu 2 jam, itupun masih ga dapet. padahal tertera masih banyak driver yang terdeteksi dan dekat. email dan pusat bantuan ga membantu sama sekali.",2026-03-29 09:07:03,udah beberapa hari ini cari driver lama bahkan bisa sampai nunggu jam itupun masih ga dapet padahal tertera masih banyak driver yang terdeteksi dan dekat email dan pusat bantuan ga membantu sama sekali,negatif,udah beberapa hari ini cari driver lama bahkan bisa sampai nunggu jam itupun masih ga dapet padahal tertera masih banyak driver yang terdeteksi dan dekat email dan pusat bantuan ga membantu sama sekali,udah beberapa hari ini cari driver lama bahkan bisa sampai nunggu jam itupun masih ga dapet padahal tertera masih banyak driver yang terdeteksi dan dekat email dan pusat bantuan ga membantu sama sekali,sudah beberapa hari ini cari driver lama bahkan bisa sampai menunggu jam itupun masih tidak dapat padahal tertera masih banyak driver yang terdeteksi dan dekat email dan pusat bantuan tidak membantu sama sekali,sudah beberapa hari ini cari driver lama bahkan bisa sampai menunggu jam itupun masih tidak dapat tertera masih banyak driver yang terdeteksi dan dekat email dan pusat bantuan tidak membantu sama sekali
Ahmad Santana,5,mantap,2026-03-29 09:00:43,mantap,positif,mantap,mantap,mantap,mantap
Asrisangadji 08,5,seru,2026-03-29 08:56:43,seru,positif,seru,seru,seru,seru
Vheny Jully,5,"sering susah dapet driver, dg alasan lokasi penjemputan terlalu jauh dan minta di cancel ,kadang diterima tp menghilang dan stuck tidak bergerak tolong diperbaiki lg untuk driver yg seperti ini",2026-03-29 08:50:07,sering susah dapet driver dg alasan lokasi penjemputan terlalu jauh dan minta di cancel kadang diterima tp menghilang dan stuck tidak bergerak tolong diperbaiki lg untuk driver yg seperti ini,positif,sering susah dapet driver alasan lokasi penjemputan terlalu jauh dan minta cancel kadang diterima menghilang dan tidak bergerak tolong diperbaiki untuk driver seperti ini,sering susah dapet driver alasan lokasi penjemputan terlalu jauh dan minta cancel kadang diterima menghilang dan tidak bergerak tolong diperbaiki untuk driver seperti ini,sering susah dapat driver alasan lokasi penjemputan terlalu jauh dan meminta cancel kadang diterima menghilang dan tidak bergerak tolong diperbaiki untuk driver seperti ini,sering susah dapat driver alasan lokasi penjemputan terlalu jauh dan meminta cancel kadang diterima menghilang dan tidak bergerak diperbaiki untuk driver seperti ini
Dragon Goblok,1,"driver kebanyakan ga gerak ditunggu beberapa menit juga gaada balasan, tolong diberi kebijakan masalah ini.",2026-03-29 08:39:50,driver kebanyakan ga gerak ditunggu beberapa menit juga gaada balasan tolong diberi kebijakan masalah ini,negatif,driver kebanyakan ga gerak ditunggu beberapa menit juga gaada balasan tolong diberi kebijakan masalah ini,driver kebanyakan ga gerak ditunggu beberapa menit juga gaada balasan tolong diberi kebijakan masalah ini,driver kebanyakan tidak gerak ditunggu beberapa menit juga enggak ada balasan tolong diberi kebijakan masalah ini,driver kebanyakan tidak gerak ditunggu beberapa menit enggak ada balasan diberi kebijakan masalah ini
Solihin Saddam,1,Gila loh orderan naik prioritas aja tetap susah dpt driver,2026-03-29 08:33:35,gila loh orderan naik prioritas aja tetap susah dpt driver,negatif,gila loh orderan naik prioritas aja tetap susah driver,gila loh orderan naik prioritas aja tetap susah driver,gila loh orderan naik prioritas saja tetap susah driver,gila loh orderan naik prioritas saja tetap susah driver
Ququ Alaydrus,5,sejauh ini mantap pelayanan nya goodjob,2026-03-29 08:24:55,sejauh ini mantap pelayanan nya goodjob,positif,sejauh ini mantap pelayanan nya goodjob,sejauh ini mantap pelayanan nya goodjob,sejauh ini mantap pelayanan nya goodjob,sejauh ini mantap pelayanan goodjob
Naftalie Putri Jamas Frans Matacco,3,kalo nyari driver jangan yang jaraknya jauh. tolong banget nungguin driver kelamaan makan waktu banget jadinya,2026-03-29 08:24:05,kalo nyari driver jangan yang jaraknya jauh tolong banget nungguin driver kelamaan makan waktu banget jadinya,netral,kalo nyari driver jangan yang jaraknya jauh tolong banget nungguin driver kelamaan makan waktu banget jadinya,kalo nyari driver jangan yang jaraknya jauh tolong banget nungguin driver kelamaan makan waktu banget jadinya,kalo mencari driver jangan yang jaraknya jauh tolong banget menunggu driver kelamaan makan waktu banget jadinya,mencari driver jangan yang jaraknya jauh menunggu driver kelamaan makan waktu jadinya
widya indahlestari14,3,"terlalu lama mendapatkan driver,",2026-03-29 08:18:13,terlalu lama mendapatkan driver,netral,terlalu lama mendapatkan driver,terlalu lama mendapatkan driver,terlalu lama mendapatkan driver,terlalu lama mendapatkan driver
Dian Kasa,5,mantap memudahkan apa saja,2026-03-29 08:15:33,mantap memudahkan apa saja,positif,mantap memudahkan apa saja,mantap memudahkan apa saja,mantap memudahkan apa saja,mantap memudahkan apa saja
Sugandha Dharma,1,Setiap kali pesan selalu telat/tdk ada drivernya padahal sudah menunggu lebih dari 3 jam masih belum dapat,2026-03-29 08:00:34,setiap kali pesan selalu telattdk ada drivernya padahal sudah menunggu lebih dari jam masih belum dapat,negatif,setiap kali pesan selalu telat ada drivernya padahal sudah menunggu lebih dari jam masih belum dapat,setiap kali pesan selalu telat ada drivernya padahal sudah menunggu lebih dari jam masih belum dapat,setiap kali pesan selalu telat ada drivernya padahal sudah menunggu lebih dari jam masih belum dapat,setiap kali pesan selalu telat ada drivernya sudah menunggu lebih jam masih belum dapat
jati prasetyo,1,drivernya terlalu milih milih,2026-03-29 07:58:22,drivernya terlalu milih milih,negatif,drivernya terlalu milih milih,drivernya terlalu milih milih,drivernya terlalu memilih memilih,drivernya terlalu memilih memilih
ReihanA,3,"Gojek, driver yang sengaja tidak bergerak, beralasan macet (padahal lengang lancar jalannya, ngecek dari CCTV kota), beralasan titik tidak bisa dijangkau, sengaja tidak cancel order biar penumpang yg cancel dan dia dapat 3k, mohon di evaluasi.",2026-03-29 07:56:23,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari cctv kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang yg cancel dan dia dapat k mohon di evaluasi,netral,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya mengecek dari kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang cancel dan dia dapat mohon evaluasi,gojek driver yang sengaja tidak bergerak beralasan macet lengang lancar jalannya mengecek kota beralasan titik tidak bisa dijangkau sengaja tidak cancel biar penumpang cancel dan dapat mohon evaluasi
Siti nur Yulaikah,1,ini kenapa ya kok tiba2 gak bisa masuk blass gak bisa di gunakan sama sekalee..ada apa ini tolong jelaskan,2026-03-29 07:45:30,ini kenapa ya kok tiba gak bisa masuk blass gak bisa di gunakan sama sekaleeada apa ini tolong jelaskan,negatif,ini kenapa kok gak bisa masuk gak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok gak bisa masuk gak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok enggak bisa masuk enggak bisa gunakan sama sekalee ada apa ini tolong jelaskan,ini kenapa kok enggak bisa masuk enggak bisa gunakan sama sekalee ada apa ini jelaskan
IBANG,1,"booking tidak jelas, harga berubah ubah tiba tiba, tidak dapat driver sampe 1 jam lebih",2026-03-29 07:45:10,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,negatif,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampai jam lebih,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampai jam lebih
Hemasandi Ramadlani,1,kebanyakkan update mana mesti wajib update jd gabisa pesan kalau lg buru2 ngenttttt,2026-03-29 07:43:52,kebanyakkan update mana mesti wajib update jd gabisa pesan kalau lg buru ngenttttt,negatif,kebanyakkan update mana mesti wajib update gabisa pesan kalau,kebanyakkan update mana mesti wajib update gabisa pesan kalau,kebanyakan update mana mesti wajib update enggak bisa pesan kalau,kebanyakan update mana mesti wajib update enggak bisa pesan kalau
Tahan Tawa,5,WOI KALO MAU PESAN HEMAT YA DAPAT DRIVE JAUH MAKANYA PAKAI REGULER BIAR DAPAT DRIVER DEKAT :)),2026-03-29 07:38:04,woi kalo mau pesan hemat ya dapat drive jauh makanya pakai reguler biar dapat driver dekat,positif,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi kalo mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat,woi mau pesan hemat dapat drive jauh makanya pakai reguler biar dapat driver dekat
spartan99 rise,5,ok,2026-03-29 07:32:04,ok,positif,ok,ok,baik,baik
Chairul Basari,5,keren,2026-03-29 07:25:40,keren,positif,keren,keren,keren,keren
simpanan 1,1,"systemnya di perbaiki lagi. masa sudah nunggu hampir 1 jam pesan gofood.. resto sudah nerima, udah dapet driver. tiba2 resto tutup. Udah laper pula.",2026-03-29 07:25:37,systemnya di perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver tiba resto tutup udah laper pula,negatif,perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver resto tutup udah laper pula,perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver resto tutup udah laper pula,perbaiki lagi masa sudah menunggu hampir jam pesan gofood resto sudah menerima sudah dapat driver resto tutup sudah laper pula,perbaiki lagi masa sudah menunggu hampir jam pesan gofood resto sudah menerima sudah dapat driver resto tutup sudah laper pula
KzzHung giu,5,pengantar nya cepat,2026-03-29 07:24:17,pengantar nya cepat,positif,pengantar nya cepat,pengantar nya cepat,pengantar nya cepat,pengantar cepat
Yunita Rindawaty,5,aman nyaman,2026-03-29 07:14:45,aman nyaman,positif,aman nyaman,aman nyaman,aman nyaman,aman nyaman
Anaa Maulida,1,"biaya sering naik lebih mahal, driver jauh dan bertingkah, akses melaporkan susah",2026-03-29 07:10:01,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,negatif,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah
Yanto Cv20,5,jos,2026-03-29 07:04:37,jos,positif,jos,jos,jos,jos
agnes apriliani,1,jelek bgt pelayanan gofood nya masa pesen sadi jam 12 sianh smpe jam 2 siang g dapet 2 driver malah suruh munggu langi sampe jam 14.45 gila apa mana ga bisa d cancel pula ... perbaiki lagi dong sistem nya udh nunggu lama,2026-03-29 06:53:58,jelek bgt pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang g dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa d cancel pula perbaiki lagi dong sistem nya udh nunggu lama,negatif,jelek pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa cancel pula perbaiki lagi dong sistem nya udh nunggu lama,jelek pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa cancel pula perbaiki lagi dong sistem nya udh nunggu lama,jelek pelayanan gofood nya masa pesan sadi jam sianh sampai jam siang dapat driver malah suruh munggu langi sampai jam gila apa mana tidak bisa cancel pula perbaiki lagi dong sistem nya sudah menunggu lama,jelek pelayanan gofood masa pesan sadi jam sianh sampai jam siang dapat driver malah suruh munggu langi sampai jam gila apa mana tidak bisa cancel pula perbaiki lagi dong sistem sudah menunggu lama
Robi Maulana32,1,"lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila,padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek/gocar kecewa sih.. rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya",2026-03-29 06:52:39,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gilapadahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojekgocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,negatif,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek gocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek gocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,lama lama aplikasi tidak ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila padahal saya sering banget gunain aplikasi ini bahkan saya suka kasih tips buat gojek gocar kecewa sih ranting saya saja sebagai custumer lebih tinggi dibanding aplikasi ini kecewa banget pokoknya,lama lama aplikasi tidak ngotak harga untuk customer makin gila mahal dibanding grab gila gila saya sering gunain aplikasi ini bahkan saya suka kasih tips buat gojek gocar kecewa ranting saya saja sebagai custumer lebih tinggi dibanding aplikasi ini kecewa pokoknya
Roby Jackers,1,makin Gak Ada Otak Driver Nya Semua,2026-03-29 06:49:32,makin gak ada otak driver nya semua,negatif,makin gak ada otak driver nya semua,makin gak ada otak driver nya semua,makin enggak ada otak driver nya semua,makin enggak ada otak driver semua
RASYID RIDHA,1,"mending apk ini di tutup saja, setiap cari drive pasti ga ada ya masuk dan percuma nunggu lama lama",2026-03-29 06:42:15,mending apk ini di tutup saja setiap cari drive pasti ga ada ya masuk dan percuma nunggu lama lama,negatif,mending apk ini tutup saja setiap cari drive pasti ga ada masuk dan percuma nunggu lama lama,mending apk ini tutup saja setiap cari drive pasti ga ada masuk dan percuma nunggu lama lama,mending aplikasi ini tutup saja setiap cari drive pasti tidak ada masuk dan percuma menunggu lama lama,mending aplikasi ini tutup saja setiap cari drive pasti tidak ada masuk dan percuma menunggu lama lama
