userName,score,content,at,clean_content,sentiment
Ququ Alaydrus,5,sejauh ini mantap pelayanan nya goodjob,2026-03-29 08:24:55,sejauh ini mantap pelayanan nya goodjob,positif
Naftalie Putri Jamas Frans Matacco,3,kalo nyari driver jangan yang jaraknya jauh. tolong banget nungguin driver kelamaan makan waktu banget jadinya,2026-03-29 08:24:05,kalo nyari driver jangan yang jaraknya jauh tolong banget nungguin driver kelamaan makan waktu banget jadinya,netral
widya indahlestari14,3,"terlalu lama mendapatkan driver,",2026-03-29 08:18:13,terlalu lama mendapatkan driver,netral
Dian Kasa,5,mantap memudahkan apa saja,2026-03-29 08:15:33,mantap memudahkan apa saja,positif
Sugandha Dharma,1,Setiap kali pesan selalu telat/tdk ada drivernya padahal sudah menunggu lebih dari 3 jam masih belum dapat,2026-03-29 08:00:34,setiap kali pesan selalu telattdk ada drivernya padahal sudah menunggu lebih dari jam masih belum dapat,negatif
jati prasetyo,1,drivernya terlalu milih milih,2026-03-29 07:58:22,drivernya terlalu milih milih,negatif
ReihanA,3,"Gojek, driver yang sengaja tidak bergerak, beralasan macet (padahal lengang lancar jalannya, ngecek dari CCTV kota), beralasan titik tidak bisa dijangkau, sengaja tidak cancel order biar penumpang yg cancel dan dia dapat 3k, mohon di evaluasi.",2026-03-29 07:56:23,gojek driver yang sengaja tidak bergerak beralasan macet padahal lengang lancar jalannya ngecek dari cctv kota beralasan titik tidak bisa dijangkau sengaja tidak cancel order biar penumpang yg cancel dan dia dapat k mohon di evaluasi,netral
Susi Newemail,5,bagussss,2026-03-29 07:47:41,bagussss,positif
Siti nur Yulaikah,1,ini kenapa ya kok tiba2 gak bisa masuk blass gak bisa di gunakan sama sekalee..ada apa ini tolong jelaskan,2026-03-29 07:45:30,ini kenapa ya kok tiba gak bisa masuk blass gak bisa di gunakan sama sekaleeada apa ini tolong jelaskan,negatif
IBANG,1,"booking tidak jelas, harga berubah ubah tiba tiba, tidak dapat driver sampe 1 jam lebih",2026-03-29 07:45:10,booking tidak jelas harga berubah ubah tiba tiba tidak dapat driver sampe jam lebih,negatif
Hemasandi Ramadlani,1,kebanyakkan update mana mesti wajib update jd gabisa pesan kalau lg buru2 ngenttttt,2026-03-29 07:43:52,kebanyakkan update mana mesti wajib update jd gabisa pesan kalau lg buru ngenttttt,negatif
Tahan Tawa,5,WOI KALO MAU PESAN HEMAT YA DAPAT DRIVE JAUH MAKANYA PAKAI REGULER BIAR DAPAT DRIVER DEKAT :)),2026-03-29 07:38:04,woi kalo mau pesan hemat ya dapat drive jauh makanya pakai reguler biar dapat driver dekat,positif
spartan99 rise,5,ok,2026-03-29 07:32:04,ok,positif
Chairul Basari,5,keren,2026-03-29 07:25:40,keren,positif
simpanan 1,1,"systemnya di perbaiki lagi. masa sudah nunggu hampir 1 jam pesan gofood.. resto sudah nerima, udah dapet driver. tiba2 resto tutup. Udah laper pula.",2026-03-29 07:25:37,systemnya di perbaiki lagi masa sudah nunggu hampir jam pesan gofood resto sudah nerima udah dapet driver tiba resto tutup udah laper pula,negatif
KzzHung giu,5,pengantar nya cepat,2026-03-29 07:24:17,pengantar nya cepat,positif
Yunita Rindawaty,5,aman nyaman,2026-03-29 07:14:45,aman nyaman,positif
Anaa Maulida,1,"biaya sering naik lebih mahal, driver jauh dan bertingkah, akses melaporkan susah",2026-03-29 07:10:01,biaya sering naik lebih mahal driver jauh dan bertingkah akses melaporkan susah,negatif
Yanto Cv20,5,jos,2026-03-29 07:04:37,jos,positif
agnes apriliani,1,jelek bgt pelayanan gofood nya masa pesen sadi jam 12 sianh smpe jam 2 siang g dapet 2 driver malah suruh munggu langi sampe jam 14.45 gila apa mana ga bisa d cancel pula ... perbaiki lagi dong sistem nya udh nunggu lama,2026-03-29 06:53:58,jelek bgt pelayanan gofood nya masa pesen sadi jam sianh smpe jam siang g dapet driver malah suruh munggu langi sampe jam gila apa mana ga bisa d cancel pula perbaiki lagi dong sistem nya udh nunggu lama,negatif
Robi Maulana32,1,"lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gila,padahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojek/gocar kecewa sih.. rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya",2026-03-29 06:52:39,lama lama aplikasi ga ngotak harga untuk customer makin gila mahal banget dibanding grab gila gilapadahal saya sering banget gunain apk ini bahkan saya suka kasih tips buat gojekgocar kecewa sih rating saya aja sebagai custumer lebih tinggi dibanding apk ini kecewa banget pokonya,negatif
Roby Jackers,1,makin Gak Ada Otak Driver Nya Semua,2026-03-29 06:49:32,makin gak ada otak driver nya semua,negatif
RASYID RIDHA,1,"mending apk ini di tutup saja, setiap cari drive pasti ga ada ya masuk dan percuma nunggu lama lama",2026-03-29 06:42:15,mending apk ini di tutup saja setiap cari drive pasti ga ada ya masuk dan percuma nunggu lama lama,negatif
Miftahuzni,1,"susah dapet driver,pesenan susah di batalin . driver sampe ganti 3x .. hadeuh gojek ini pelayanan nya astaga bgt",2026-03-29 06:39:36,susah dapet driverpesenan susah di batalin driver sampe ganti x hadeuh gojek ini pelayanan nya astaga bgt,negatif
kenzo algevaro,1,"pesen makanan doang lama banget 65-75? udh ditunggu eh dibatalin, nyesel gua percaya gojek, MENDING PAKE GRAB KALO GA SHOPPE AJA BUAT MAKAN. GOJEK GA REKOMENDASI",2026-03-29 06:35:53,pesen makanan doang lama banget udh ditunggu eh dibatalin nyesel gua percaya gojek mending pake grab kalo ga shoppe aja buat makan gojek ga rekomendasi,negatif
Lorenzo Gress,1,susah dapet driver,2026-03-29 06:32:29,susah dapet driver,negatif
Hana Anis,2,di mamuju sulawesi. kalau pesan makanan lama banget sejam .. pdhal dekat rumah,2026-03-29 06:31:46,di mamuju sulawesi kalau pesan makanan lama banget sejam pdhal dekat rumah,negatif
lemonade,1,"ngaco banget sistemnya, dapet driver jauh 1km lebih, bukan apa apa tapi kasihan ke drivenya kocak, driver kalo lama dateng di cancel otomatis dari aplikasi, padahal salah sistem kenapa nyari gojek selalu yang jauh terus, mana kadang suka nyuruh cancel alasannya lagi makan, minum, eek, berak, modol",2026-03-29 06:14:45,ngaco banget sistemnya dapet driver jauh km lebih bukan apa apa tapi kasihan ke drivenya kocak driver kalo lama dateng di cancel otomatis dari aplikasi padahal salah sistem kenapa nyari gojek selalu yang jauh terus mana kadang suka nyuruh cancel alasannya lagi makan minum eek berak modol,negatif
Ilmaniar Kamahara,3,"gojek sekarang bikin kecewa, akhir2 ini susahh bangett dapat driver entah dari goride, gocar atau gofood juga",2026-03-29 06:11:44,gojek sekarang bikin kecewa akhir ini susahh bangett dapat driver entah dari goride gocar atau gofood juga,netral
Edrus Himawan,5,mantaf,2026-03-29 06:11:31,mantaf,positif
doel baba,5,ok,2026-03-29 06:01:40,ok,positif
Devi Anggraeni,1,makin lama makin gajelas,2026-03-29 05:56:42,makin lama makin gajelas,negatif
BLURR I ANK,5,GOOD....!,2026-03-29 05:47:24,good,positif
Juliadi Boy,5,okey,2026-03-29 05:40:53,okey,positif
Steven Hartono,5,bagus,2026-03-29 05:36:41,bagus,positif
Sugiono Rahmat,3,sangat membantu,2026-03-29 05:29:27,sangat membantu,netral
Nazriel Ismail,1,"pelayanan terburuk di dunia, driver susah di dapat",2026-03-29 05:25:46,pelayanan terburuk di dunia driver susah di dapat,negatif
Irfan Badzim,5,senng,2026-03-29 05:20:43,senng,positif
Nur Atikah,2,"cri driver aja lama bgt, pdhl udh di prioritasin",2026-03-29 05:17:54,cri driver aja lama bgt pdhl udh di prioritasin,negatif
Zull Zull,5,mantap gojek Gorontalo,2026-03-29 05:12:59,mantap gojek gorontalo,positif
supriadi alfiatnah,1,"saya pesan makanan sudah saya transfer ke gopay drivernya dan pesanan saya di cancel ,gimana ini gojek kurang amanah driver penipu di loloskan gabung di gojek nama account nya Muhammad Iqbal Saputra DD4106XBM",2026-03-29 05:12:03,saya pesan makanan sudah saya transfer ke gopay drivernya dan pesanan saya di cancel gimana ini gojek kurang amanah driver penipu di loloskan gabung di gojek nama account nya muhammad iqbal saputra ddxbm,negatif
Rahmawaty Yusuf Official,5,👍👍👍👍👍,2026-03-29 05:11:08,,positif
Nisrina Nasywa,1,"so sory, apk ini awalnya bagus bgt bisa ngebantu banyak hal. but makin kesini makin GAJELAS SISTEMNYA. kasian customer susah bgt dapet drivernya, pdhal di sisi lain para driver juga pada ga dapet orderan. DIPERBAIKI!!! jangan sampe gara² udh punya nama, jadi asal asalan pelayanannya",2026-03-29 05:03:09,so sory apk ini awalnya bagus bgt bisa ngebantu banyak hal but makin kesini makin gajelas sistemnya kasian customer susah bgt dapet drivernya pdhal di sisi lain para driver juga pada ga dapet orderan diperbaiki jangan sampe gara udh punya nama jadi asal asalan pelayanannya,negatif
Winarko HS,5,"Terimakasih sudah diantar tepat waktu, komunikasi drivernya baik, ramah, perjalanan aman dan lancar... 🙏",2026-03-29 04:57:03,terimakasih sudah diantar tepat waktu komunikasi drivernya baik ramah perjalanan aman dan lancar,positif
Danang Dwi Kustianto,1,"banyak driver gak mau ambil jemputan, pelayanannya gimana",2026-03-29 04:50:37,banyak driver gak mau ambil jemputan pelayanannya gimana,negatif
Mustika Kania,5,ramah,2026-03-29 04:41:30,ramah,positif
Ikhwan Pribadi,5,good,2026-03-29 04:21:37,good,positif
Deko Handoko,5,bisa pesan makanan,2026-03-29 04:00:14,bisa pesan makanan,positif
Wirda Hayati,5,terima kasih bang. .. terpercaya dan tepat waktu,2026-03-29 03:55:06,terima kasih bang terpercaya dan tepat waktu,positif
Faizan Nafis,1,"lelet, sudah pesan gofood ga ada drivernya. dapat driver 9 kali malah di cancel semua, aplikasi apaan ini sistem gofoodnya begitu",2026-03-29 03:54:29,lelet sudah pesan gofood ga ada drivernya dapat driver kali malah di cancel semua aplikasi apaan ini sistem gofoodnya begitu,negatif
kombel cakrawisdom,5,senang memnggunakan aplikasi gojek semuanya bisa cukup dr rumah sdh bisa dilakukan,2026-03-29 03:49:35,senang memnggunakan aplikasi gojek semuanya bisa cukup dr rumah sdh bisa dilakukan,positif
Syahril Ramadhan,5,terlalu lama ini mendapatkan kurir lawak,2026-03-29 03:46:24,terlalu lama ini mendapatkan kurir lawak,positif
Tarmin Raenanda,5,Sangat membantu sekali,2026-03-29 03:44:55,sangat membantu sekali,positif
Arveni Tulangow,5,Mantap,2026-03-29 03:37:13,mantap,positif
Callista 08,5,sangat senang dan sangat membantu sekali pake aplikasi gocar,2026-03-29 03:32:50,sangat senang dan sangat membantu sekali pake aplikasi gocar,positif
Veno Oktobrian,1,"semakin kesini semakin buruk aplikasinya sering banget eror gajelas, masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru",2026-03-29 03:22:11,semakin kesini semakin buruk aplikasinya sering banget eror gajelas masukan aja mending sistem aplikasinya dibenerin biar ga lemot karena nyusahin kalau buat yang terburu buru,negatif
Ruddy Ruslie,5,Membantu. ok.,2026-03-29 03:21:41,membantu ok,positif
Uing Tea,4,kita coba babak baru.....,2026-03-29 03:21:24,kita coba babak baru,positif
Fino Ardian,3,"lama lama gojek kurang ajar masa ongkir mahal bgt, padahal Deket saya pemakai gofood 3 tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa 3x saya pesen gofood masa skrg lama lama kayak gak ngotak udah ongkos mahal, waktu nunggu bisa 1 Jam juga niat apa gak bikin fitur gofood apa nyontek ke shoppefood yang waktu anternya lama",2026-03-29 03:18:53,lama lama gojek kurang ajar masa ongkir mahal bgt padahal deket saya pemakai gofood tahun belakangan setiap hari sya pesen gofood bahkan sehari bisa x saya pesen gofood masa skrg lama lama kayak gak ngotak udah ongkos mahal waktu nunggu bisa jam juga niat apa gak bikin fitur gofood apa nyontek ke shoppefood yang waktu anternya lama,netral
Arie Citra rengganis,5,"plis buat gojek coba pertimbangkan buat ngasih lokasi driver itu jangan jauh jauh kasian kadang terpaksa di batalin karena jauh padahal saya pengguna setia gojek Loh, karena titik nya suka presisi ga loncat tapi akhir akhir ini dapet driver lama dan jauh, akhirnya mempertimbangkan memakai jasa sebelah ya sayang sih harus nya bisa lebih baik ya",2026-03-29 02:59:48,plis buat gojek coba pertimbangkan buat ngasih lokasi driver itu jangan jauh jauh kasian kadang terpaksa di batalin karena jauh padahal saya pengguna setia gojek loh karena titik nya suka presisi ga loncat tapi akhir akhir ini dapet driver lama dan jauh akhirnya mempertimbangkan memakai jasa sebelah ya sayang sih harus nya bisa lebih baik ya,positif
Ratna A,1,PELAYANAN KONSUMER BURUK..ROBOT SEMUA ISINYA,2026-03-29 02:49:59,pelayanan konsumer burukrobot semua isinya,negatif
Liana Sebong,5,nice,2026-03-29 02:43:35,nice,positif
muhammad naufalasshofa,1,"apk bodoh dan menyusahkan, main ngerubah harga sendiri, susah mendapatkan driver. MENYUSAHKAN",2026-03-29 02:40:36,apk bodoh dan menyusahkan main ngerubah harga sendiri susah mendapatkan driver menyusahkan,negatif
Suat Hong Lie,3,kebanyakan anterrin mkn gk pernah pakai baju seragam,2026-03-29 02:38:58,kebanyakan anterrin mkn gk pernah pakai baju seragam,netral
Elisabeth Ivantry,1,pesan makan sekarang lama sekali,2026-03-29 02:35:37,pesan makan sekarang lama sekali,negatif
Ste Fanny,4,skrng cari driver susah banget udh gitu pada lama² lagi,2026-03-29 02:23:52,skrng cari driver susah banget udh gitu pada lama lagi,positif
Muhammad al qays,5,okay,2026-03-29 02:08:32,okay,positif
yanny dwi,1,"order gofood tp nasi gak ada, komplen minta nasinya malah refund.. emang mau makan saldo????",2026-03-29 02:02:01,order gofood tp nasi gak ada komplen minta nasinya malah refund emang mau makan saldo,negatif
Gilang Andre,2,"masalah jaringan,padahal kuota banyak tapi di apk masalah internet",2026-03-29 01:57:57,masalah jaringanpadahal kuota banyak tapi di apk masalah internet,negatif
Bang Aeri,5,gojek mantap,2026-03-29 01:56:55,gojek mantap,positif
Queen Lion,1,"driver di daerah saya sedikit jadi lama sekali ketika akan pesan, saran tambahkan lagi drivernya di titik titik tertentu",2026-03-29 01:54:48,driver di daerah saya sedikit jadi lama sekali ketika akan pesan saran tambahkan lagi drivernya di titik titik tertentu,negatif
Dede “Fitrah” Khaerul,2,"Aplikasi gak guna. pesan go food, waktu persiapan 70 menit. udah nunggu lama, malah gak dapat driver. disuruh batalin pula. akhirnya pesen di aplikasi oren, ternyata lebih cepat dari estimasi. tegur dong para drivernya.",2026-03-29 01:53:31,aplikasi gak guna pesan go food waktu persiapan menit udah nunggu lama malah gak dapat driver disuruh batalin pula akhirnya pesen di aplikasi oren ternyata lebih cepat dari estimasi tegur dong para drivernya,negatif
Hendrik Setiawan,5,"Overall udah mantap, cuman ada beberapa bug kayak notif chat ga muncul, tolong diperbaiki lagi",2026-03-29 01:29:39,overall udah mantap cuman ada beberapa bug kayak notif chat ga muncul tolong diperbaiki lagi,positif
Akhmad Iqbal Afghifari,2,"cari driver makin susah, kalau Nemu sengaja dibikin lama trus malah minta cancel, setiap driver yang minta cancel customer dpt biaya tambahan buat cari trip selanjutnya",2026-03-29 01:26:13,cari driver makin susah kalau nemu sengaja dibikin lama trus malah minta cancel setiap driver yang minta cancel customer dpt biaya tambahan buat cari trip selanjutnya,negatif
Dodo Zipo,5,Sangat membantu Terimakasih,2026-03-29 01:22:47,sangat membantu terimakasih,positif
Endro Priyadi,1,"baru aja mau naik go car yang prioritas malah di batalin nih nomer plat mobil nya B1620ERM dan nama nya R. RINALDI AFRIYANTO Toyota Calya silver metalik, tolong di usahakan jangan begini lagi",2026-03-29 01:20:54,baru aja mau naik go car yang prioritas malah di batalin nih nomer plat mobil nya berm dan nama nya r rinaldi afriyanto toyota calya silver metalik tolong di usahakan jangan begini lagi,negatif
Nina Fitriani,5,nyaman . terima kasih,2026-03-29 01:16:49,nyaman terima kasih,positif
Beautyvia De Millie Yang,1,"Gopay saya di tarik sama orang tidak di kenal di tanggal 12 MARET, tapi dari gojek tidak membantu mengembalikan uang tersebut. malahan tutup kasus nya. di coba lagi untuk buka kasusnya tapi tidak bisa. tolong di bantu yaa ini aplikasi gak aman banget. udah beberapa kali saldo aku hilang",2026-03-29 01:01:12,gopay saya di tarik sama orang tidak di kenal di tanggal maret tapi dari gojek tidak membantu mengembalikan uang tersebut malahan tutup kasus nya di coba lagi untuk buka kasusnya tapi tidak bisa tolong di bantu yaa ini aplikasi gak aman banget udah beberapa kali saldo aku hilang,negatif
Keyla Aurani,5,membantu dalam perjalanan 👍🏻👍🏻👍🏻,2026-03-29 00:40:44,membantu dalam perjalanan,positif
Garnet,5,Saya mengharapkan agar Gojek Sejahtera lagi.🙏,2026-03-29 00:35:25,saya mengharapkan agar gojek sejahtera lagi,positif
khumaedi yahya,5,mantap,2026-03-29 00:25:12,mantap,positif
Ning Dwi Elvy Sukesi,5,"Driver baik ramah,datang tepat waktu dan juga mobil bersih 👍🏻👍🏻",2026-03-29 00:23:04,driver baik ramahdatang tepat waktu dan juga mobil bersih,positif
Rangga Anggara,5,go food so fasting,2026-03-29 00:13:02,go food so fasting,positif
Adam Syam,5,the best,2026-03-29 00:04:36,the best,positif
anindhita prasasya,5,"aplikasi mempermudah hidup. dsaat repot ini itu, klik lalu nunggu dan makan :)",2026-03-28 23:59:30,aplikasi mempermudah hidup dsaat repot ini itu klik lalu nunggu dan makan,positif
farizadhdhahiri XTPm1,5,mempermudah keseharian 👍,2026-03-28 23:56:09,mempermudah keseharian,positif
Inni Sadrika,2,"setiap pesen gocar, selalu dicancel",2026-03-28 23:52:19,setiap pesen gocar selalu dicancel,negatif
Rizkullah Shafa,5,nice,2026-03-28 23:42:53,nice,positif
Rihana Putri,5,gak dapat driver smpe 1jam? yg bener aja ni gojek??,2026-03-28 23:29:09,gak dapat driver smpe jam yg bener aja ni gojek,positif
Kam Nadhoya Zhay,4,Bagus,2026-03-28 23:27:54,bagus,positif
Janiar Rampalino,5,"cepat pelayanan,sangat terbantu",2026-03-28 23:23:39,cepat pelayanansangat terbantu,positif
Telur Gulung,2,goride hemat Rp.21.500 gocar hemat RP.20.500 goride biasa Rp.21.500 goride comfort Rp.21.500 😑 bingung mikir nya ini biaya nya ga jelas...,2026-03-28 23:21:31,goride hemat rp gocar hemat rp goride biasa rp goride comfort rp bingung mikir nya ini biaya nya ga jelas,negatif
Zeidan Taufik,5,layanan bagus,2026-03-28 21:32:46,layanan bagus,positif
Muhex Munadi,5,kenapa gopaylater gk di acc padahal saya pengguna lama,2026-03-28 21:19:35,kenapa gopaylater gk di acc padahal saya pengguna lama,positif
Muhammad arif pujaya kesuma,4,Good,2026-03-28 19:26:52,good,positif
Isra Miraja,5,sangat baik,2026-03-28 19:13:00,sangat baik,positif
Nanda Juliana,1,"Jujur ya, saya bener-bener kecewa dan emosi banget sama layanan GoFood kali ini! Masa aplikasi sebesar Gojek nggak punya fitur pembatalan yang jelas, padahal driver-nya lama banget nggak jalan-jalan dan bikin waktu saya terbuang percuma? Saya nungguin makanan sampai kelaparan, tapi pas mau batalin malah dipersulit seolah-olah konsumen nggak punya hak buat memilih, padahal ini murni kesalahan sistem atau driver yang nggak responsif. Tolong dong diperbaiki sistemnya, jangan cuma mau untungnya aja",2026-03-28 19:12:15,jujur ya saya benerbener kecewa dan emosi banget sama layanan gofood kali ini masa aplikasi sebesar gojek nggak punya fitur pembatalan yang jelas padahal drivernya lama banget nggak jalanjalan dan bikin waktu saya terbuang percuma saya nungguin makanan sampai kelaparan tapi pas mau batalin malah dipersulit seolaholah konsumen nggak punya hak buat memilih padahal ini murni kesalahan sistem atau driver yang nggak responsif tolong dong diperbaiki sistemnya jangan cuma mau untungnya aja,negatif
Emil13 Emil,5,bagus,2026-03-28 18:24:37,bagus,positif
djunaedy jagger,1,Mencret!!!,2026-03-28 18:18:12,mencret,negatif
Sugi Hartono,5,mantap,2026-03-28 18:10:08,mantap,positif
Mahdumdamas Hsb,5,nyaman,2026-03-28 17:59:13,nyaman,positif
Reese Cherry,1,"min tolong perbaiki akun saya segera, tidak bisa claim gopay coin",2026-03-28 17:51:00,min tolong perbaiki akun saya segera tidak bisa claim gopay coin,negatif
Geovani YS,1,"semoga ga pailit gulung tikar ini aplikasi, gofood udah nunggu lama malah gaada driver.",2026-03-28 17:50:20,semoga ga pailit gulung tikar ini aplikasi gofood udah nunggu lama malah gaada driver,negatif
diva raisa,1,LAMA DAPAT DRIVER,2026-03-28 17:34:58,lama dapat driver,negatif
Janto Gunawan,5,adakan promo krn skrg bnyk pesaing,2026-03-28 17:31:04,adakan promo krn skrg bnyk pesaing,positif
Satrio Nugroho,3,terkadang susah dapat driver saat mesan gofood🙏,2026-03-28 17:25:38,terkadang susah dapat driver saat mesan gofood,netral
Slameto Duwi,5,mantap,2026-03-28 17:25:20,mantap,positif
Rido,1,"kita beneran pesen di sangka nipu, padahal gk pernah nipu sama sekali, parah banget drivernya",2026-03-28 17:19:48,kita beneran pesen di sangka nipu padahal gk pernah nipu sama sekali parah banget drivernya,negatif
Fernando Layasina Kacaribu,1,ga niat lu pada,2026-03-28 17:08:27,ga niat lu pada,negatif
Made Sutomo,5,cepet respon,2026-03-28 16:53:09,cepet respon,positif
Fitry Cornelia,3,"kesel bngt, klw misal pas ngegofood ternyata toko nya nggk nyangupin atau driver nya nggk ada yg mau ngambil orderan, malah di suruh nunggu beberapa menit. kan jd nya bingung ke kita nya, mau cancel takut udah di bikin pesanan nya, nggak di cancel malah ngegantung status nya. klw bisa to the point aja lah, batalin dr driver klw nggk mau nganter, jd tinggal lempar ke driver lain, atau toko nya nggk sanggup tinggal langsung cancel aja. jngn nungguin dr sistem gojek nya. maaf aja ya bintang 3",2026-03-28 16:33:08,kesel bngt klw misal pas ngegofood ternyata toko nya nggk nyangupin atau driver nya nggk ada yg mau ngambil orderan malah di suruh nunggu beberapa menit kan jd nya bingung ke kita nya mau cancel takut udah di bikin pesanan nya nggak di cancel malah ngegantung status nya klw bisa to the point aja lah batalin dr driver klw nggk mau nganter jd tinggal lempar ke driver lain atau toko nya nggk sanggup tinggal langsung cancel aja jngn nungguin dr sistem gojek nya maaf aja ya bintang,netral
Sri Hasriyanti,5,dabest,2026-03-28 16:32:08,dabest,positif
bang muaz,5,aku kasih bintang 5 biar puas kalian. aku heran sama driver foodnya. kalau yg pesan cewek cepat sampe pagi pun dilayanin tapi kalo yg pesan nya cowok lama nya minta ampun.. terkhusus daerah semarang dan sekitarnya.,2026-03-28 16:31:45,aku kasih bintang biar puas kalian aku heran sama driver foodnya kalau yg pesan cewek cepat sampe pagi pun dilayanin tapi kalo yg pesan nya cowok lama nya minta ampun terkhusus daerah semarang dan sekitarnya,positif
34 Muh Rheza AP,5,sangat wort it,2026-03-28 16:30:08,sangat wort it,positif
Zulpan Elnura,1,"katanya ngelayanin 24 jam, gue mesen kagak ada yang mau anterin. hoax",2026-03-28 16:27:36,katanya ngelayanin jam gue mesen kagak ada yang mau anterin hoax,negatif
Agus Mulyana,5,mantappp jaya,2026-03-28 16:17:19,mantappp jaya,positif
alya fatmah,2,"kenapa ya sekarang gojek jadi jelek banget, masa order go food udah terlambat setengah jam lebih masih ga dapet dapet driver, padahal jarak tempat makan ke tempat saya ga begitu jauh, tolong perbaiki ya, order gocar juga sudah menunggu 20 menit lebih ngga ada yang nyantol, aneh banget.",2026-03-28 15:57:11,kenapa ya sekarang gojek jadi jelek banget masa order go food udah terlambat setengah jam lebih masih ga dapet dapet driver padahal jarak tempat makan ke tempat saya ga begitu jauh tolong perbaiki ya order gocar juga sudah menunggu menit lebih ngga ada yang nyantol aneh banget,negatif
Zatnika Ns,3,akhir akhir ini sulit dapet driver untuk gofood. saran kalau 30 mnt blm dpt driver pilihan batalkan munculkan saja biar gak usah nunggu lama. karna molor waktunya bisa sampe sejam setengah,2026-03-28 15:54:57,akhir akhir ini sulit dapet driver untuk gofood saran kalau mnt blm dpt driver pilihan batalkan munculkan saja biar gak usah nunggu lama karna molor waktunya bisa sampe sejam setengah,netral
Riesky Rahmadany,2,"setiap order sy slalu hati hati klo kasi bintang tp driver seenaknya ngasi bintang rendah ke akun sy pdhl sy klo order suka diem gpernh aneh aneh, alhasil klo order lg gd yg mau nyangkut krna bintang akun sy rendah hhhh malesan bgt driver nya tolong di evaluasi y mks.",2026-03-28 15:53:22,setiap order sy slalu hati hati klo kasi bintang tp driver seenaknya ngasi bintang rendah ke akun sy pdhl sy klo order suka diem gpernh aneh aneh alhasil klo order lg gd yg mau nyangkut krna bintang akun sy rendah hhhh malesan bgt driver nya tolong di evaluasi y mks,negatif
GAGA YOGA,1,susah dapat driver kalau hujan,2026-03-28 15:53:13,susah dapat driver kalau hujan,negatif
Aorban Legak,2,sering ganti sendiri alamat pengiriman khusunya di gofood padahal gak pernah diganti alamat nya ternyata ganti ganti sendiri,2026-03-28 15:50:22,sering ganti sendiri alamat pengiriman khusunya di gofood padahal gak pernah diganti alamat nya ternyata ganti ganti sendiri,negatif
Pandu Pratama,1,"saya pesen makanan, kata drivernya restonya tutup, saya di suruh cancel aja, pas mau di cancel gak bisa",2026-03-28 15:48:18,saya pesen makanan kata drivernya restonya tutup saya di suruh cancel aja pas mau di cancel gak bisa,negatif
kang hyerra,1,cari driver lama,2026-03-28 15:47:29,cari driver lama,negatif
Sofy,1,lama lelet dalam mencari driver,2026-03-28 15:42:39,lama lelet dalam mencari driver,negatif
Eka sulis styawati,5,bagus,2026-03-28 15:27:34,bagus,positif
andy barito,1,apk termahal,2026-03-28 15:23:43,apk termahal,negatif
febynurrahaman,2,susah dapet rider.,2026-03-28 15:22:58,susah dapet rider,negatif
Erdimas Subyakto,1,tarif murah driver minta cancel. aplikasi busuq.,2026-03-28 15:15:25,tarif murah driver minta cancel aplikasi busuq,negatif
Ilham Satya Permana,5,good service,2026-03-28 15:12:12,good service,positif
Yosefina Irwan,4,"saya pelanggan setia gocar, saya juga pelanggan aplikasi sebelah, semoga gocar bisa ditingkatkan lagi pencarian driver yang terdekat, karena seringkali masih dapat driver yang terlalu jauh, aplikasi sebelah masih lebih presisi dalam hal ini.",2026-03-28 15:10:33,saya pelanggan setia gocar saya juga pelanggan aplikasi sebelah semoga gocar bisa ditingkatkan lagi pencarian driver yang terdekat karena seringkali masih dapat driver yang terlalu jauh aplikasi sebelah masih lebih presisi dalam hal ini,positif
Dhe Tchayanjani,1,GK jls GK bisa d bukaapk ny,2026-03-28 15:10:14,gk jls gk bisa d bukaapk ny,negatif
NazZ,3,"Awal awal pake oke banget, driver dan lain lain nya. cuma entah kenapa hari ini aku mau pesen hampir 4x di resto yang berbeda itu gaada driver nya. padahal resto udh konfirmasi pesanan ku, tapi ga Nemu driver. sampe nunggu 1 jam lebih!!! coba lah lebih ditegaskan gitu lho. nunggu 1 jam lebih cuma buat nyari driver, sampe mau cancel pun harus nungguin timer di apk nya yang statusnya lagi nyari driver. ANEH ANEH!!!!!",2026-03-28 15:08:02,awal awal pake oke banget driver dan lain lain nya cuma entah kenapa hari ini aku mau pesen hampir x di resto yang berbeda itu gaada driver nya padahal resto udh konfirmasi pesanan ku tapi ga nemu driver sampe nunggu jam lebih coba lah lebih ditegaskan gitu lho nunggu jam lebih cuma buat nyari driver sampe mau cancel pun harus nungguin timer di apk nya yang statusnya lagi nyari driver aneh aneh,netral
Amin Sinshe,1,tidak puas dengan kinerja driver nya,2026-03-28 15:04:50,tidak puas dengan kinerja driver nya,negatif
Mitha Tanggang,5,gojeknya ramah,2026-03-28 15:02:15,gojeknya ramah,positif
wahyusaputra wahyusaputra,1,dapet driver-nya lama padahal udah harga mahal dapat driver lama,2026-03-28 14:51:00,dapet drivernya lama padahal udah harga mahal dapat driver lama,negatif
